sample_id,main_lineage,sub_lineage,is_unknown_lineage,is_compound_lineage,stratifiable_single_lineage
SRR36942272,lineage4,lineage4.3.4.2.1,False,False,True
SRR36942273,lineage3,lineage3.1.2.1,False,False,True
SRR36942274,lineage4,lineage4.1.2.1,False,False,True
SRR36942275,lineage4,lineage4.8,False,False,True
SRR36942276,lineage3,lineage3,False,False,True
SRR36942277,lineage2,lineage2.2.1,False,False,True
SRR36942278,lineage3,lineage3,False,False,True
SRR36942279,lineage3,lineage3,False,False,True
SRR36942280,lineage3,lineage3.1.1,False,False,True
SRR36942281,lineage4,lineage4.3.3,False,False,True
SRR36942282,lineage4,lineage4.3.3,False,False,True
SRR36942283,lineage4,lineage4.6.1.2,False,False,True
SRR36942284,lineage4,lineage4.6.1.1,False,False,True
SRR36942285,lineage4,lineage4.6.1.1,False,False,True
SRR36942286,lineage4,lineage4.6.1.1,False,False,True
SRR36942287,lineage4,lineage4.6.1,False,False,True
SRR36942288,lineage4,lineage4.3.4.2.1,False,False,True
SRR36942289,lineage4,lineage4.6.1.1,False,False,True
SRR36942290,lineage3,lineage3,False,False,True
SRR36942291,lineage4,lineage4.6.1.1,False,False,True
SRR36942292,lineage4,lineage4.3.3,False,False,True
SRR36942293,lineage4,lineage4.6.1.2,False,False,True
SRR36942294,lineage4,lineage4.4.1.1,False,False,True
SRR36942295,lineage3,lineage3,False,False,True
SRR36942296,lineage4,lineage4.4.1.1,False,False,True
SRR36942297,lineage1,lineage1.2.2.1,False,False,True
SRR36942298,lineage3,lineage3,False,False,True
SRR36942299,lineage4,lineage4.3.3,False,False,True
SRR36942300,lineage4,lineage4.4.1.1,False,False,True
SRR36942301,lineage2,lineage2.2.1,False,False,True
SRR36942302,lineage4,lineage4.6.1.1,False,False,True
SRR36942303,lineage4,lineage4.6.1.2,False,False,True
SRR36942304,lineage4,lineage4.4.1.1,False,False,True
SRR36942305,lineage3,lineage3.1.1,False,False,True
SRR36942306,lineage4,lineage4.3.3,False,False,True
SRR36942307,lineage4,lineage4.4.1.1,False,False,True
SRR36942308,lineage2,lineage2.2.1,False,False,True
SRR36942309,lineage4,lineage4.6,False,False,True
SRR36942310,lineage3,lineage3,False,False,True
SRR36942311,lineage4,lineage4.1.2.1,False,False,True
SRR37031316,lineage4,lineage4.1.1.3,False,False,True
SRR37031317,lineage2,lineage2.2.2,False,False,True
SRR37031318,lineage2,lineage2.2.1,False,False,True
SRR37031319,lineage4,lineage4.4.1.1,False,False,True
SRR37031320,lineage4,lineage4.1.2.1,False,False,True
